language,census1,pop1,census2,pop2
Lakher,2001,34751,2011,42429
Zemi,1991,22634,2001,34110
Zemi,2001,34110,2011,50925
Lahauli,1991,22027,2001,22646
Lahauli,2001,22646,2011,11574
Arabic/Arbi,1991,21975,2001,51728
Deori,1991,17901,2001,27960
Deori,2001,27960,2011,32376
Konda,1991,17864,2001,56262
Konda,2001,56262,2011,60699
Juang,1991,16858,2001,23708
Juang,2001,23708,2011,30378
Sherpa,1991,16105,2001,18342
Sherpa,2001,18342,2011,16012
Zou,1991,15966,2001,20857
Zou,2001,20857,2011,26545
Pawi,1991,15346,2001,24965
Pawi,2001,24965,2011,28639
Maring,1991,15268,2001,22326
Maring,2001,22326,2011,25814
Gangte,1991,13695,2001,14500
Gangte,2001,14500,2011,16542
Kom,1991,13548,2001,14673
Kom,2001,14673,2011,15108
Khezha,1991,13004,2001,40768
Khezha,2001,40768,2011,41625
Anal,1991,12156,2001,23191
Anal,2001,23191,2011,27217
Pochury,1991,11231,2001,16744
Pochury,2001,16744,2011,21654
Maram,1991,10144,2001,37340
Maram,2001,37340,2011,32460
Bodo,2001,1350478,2011,1482929
Dogri,2001,2282589,2011,2596767
Kashmiri,2001,5527698,2011,6797587
Maithili,2001,12179122,2011,13583464
Balti,2001,20053,2011,13774
Ladakhi,2001,104618,2011,14952
Rai,2001,14378,2011,15644
Shina,2001,34390,2011,32247
Tamang,2001,17494,2011,20154
Others,2001,1762388,2011,1875542
