language,census,population
Limbu,2001,37265
Limbu,2011,40835
Lotha,1971,36949
Lotha,1981,58116
Lotha,1991,85802
Lotha,2001,170001
Lotha,2011,179467
Lushai/Mizo,1971,271554
Lushai/Mizo,1981,384528
Lushai/Mizo,1991,538842
Lushai/Mizo,2001,674756
Lushai/Mizo,2011,830846
Malto,1981,100177
Malto,1991,108148
Malto,2001,224926
Malto,2011,234991
Mao,1971,35381
Mao,1981,58813
Mao,1991,77810
Mao,2011,240205
Maram,1991,10144
Maram,2001,37340
Maram,2011,32460
Maring,1981,11663
Maring,1991,15268
Maring,2001,22326
Maring,2011,25814
Miri/Mishing,1971,180684
Miri/Mishing,1991,390583
Miri/Mishing,2001,551224
Miri/Mishing,2011,629954
Mishmi,1971,22354
Mishmi,1981,24182
Mishmi,1991,29000
Mishmi,2001,33955
Mishmi,2011,44100
Mogh,1971,12378
Mogh,1981,17458
Mogh,1991,28135
Mogh,2001,30639
Mogh,2011,36665
Monpa,1971,26369
Monpa,1981,33320
Monpa,1991,43226
Monpa,2001,55876
Monpa,2011,13703
Munda,1971,309293
Munda,1981,377492
Munda,1991,413894
Munda,2001,469357
Munda,2011,505922
Mundari,1971,771253
Mundari,1981,742739
Mundari,1991,861378
Mundari,2001,1061352
Mundari,2011,1128228
Nicobarese,1971,17971
Nicobarese,1981,21542
Nicobarese,1991,26261
Nicobarese,2001,28784
Nicobarese,2011,29099
Nissi/Dafla,1971,114678
Nissi/Dafla,1981,140986
Nissi/Dafla,1991,173791
Nissi/Dafla,2001,211485
Nissi/Dafla,2011,406532
Nocte,1971,25263
Nocte,1981,23776
Nocte,1991,30441
Nocte,2001,32957
Nocte,2011,30839
Paite,1971,27157
Paite,1981,32607
Paite,1991,49237
Paite,2001,64100
Paite,2011,79507
Parji,1971,73912
Parji,1981,35758
Parji,1991,44001
Parji,2001,51216
Parji,2011,52349
Pawi,1971,10560
Pawi,1981,11656
Pawi,1991,15346
Pawi,2001,24965
Pawi,2011,28639
Phom,1971,18017
Phom,1981,24487
Phom,1991,65350
Phom,2001,122508
Phom,2011,54416
Pochury,1991,11231
Pochury,2001,16744
Pochury,2011,21654
Rabha,1971,51146
Rabha,1981,22351
Rabha,1991,139365
Rabha,2001,164770
Rabha,2011,139986
Rai,2001,14378
Rai,2011,15644
Rengma,1981,15563
Rengma,1991,37521
Rengma,2001,61345
Rengma,2011,65328
Sangtam,1971,20015
Sangtam,1981,28513
Sangtam,1991,47461
Sangtam,2001,84273
Sangtam,2011,76000
Savara,1971,222018
Savara,1981,209092
Savara,1991,273168
Savara,2001,252519
Savara,2011,409549
Sema,1971,65227
Sema,1981,95630
Sema,1991,166157
Sema,2001,103529
Sema,2011,10802
Sherpa,1981,14195
Sherpa,1991,16105
Sherpa,2001,18342
Sherpa,2011,16012
Shina,1981,10275
Shina,1991,14858
Shina,2011,34390
Tamang,1981,10059
Tamang,2001,17494
Tamang,2011,20154
Tangkhul,1971,58167
Tangkhul,1981,79887
Tangkhul,1991,101841
Tangkhul,2001,142035
Tangkhul,2011,187276
Tangsa,1971,13333
Tangsa,1981,12027
Tangsa,1991,28121
Tangsa,2001,40086
Tangsa,2011,38624
Thado,1971,51054
Thado,1981,57536
Thado,1991,107992
Thado,2001,190595
Thado,2011,229340
Tibetan,1971,49221
Tibetan,1981,63431
Tibetan,1991,69416
Tibetan,2001,85278
Tibetan,2011,182685
Tripuri,1971,372579
Tripuri,1981,502067
Tripuri,1991,694940
Tripuri,2001,854023
Tripuri,2011,1011294
Tulu,1971,1158419
Tulu,1981,1417224
Tulu,1991,1552259
Tulu,2001,1722768
Tulu,2011,1846427
Vaiphei,1971,12209
Vaiphei,1981,15618
Vaiphei,1991,26185
Vaiphei,2001,39673
Vaiphei,2011,42748
Wancho,1971,28649
Wancho,1981,32442
Wancho,1991,39600
Wancho,2001,49072
Wancho,2011,59154
Yimchungre,1971,19609
Yimchungre,1981,26672
Yimchungre,1991,47227
Yimchungre,2001,92144
Yimchungre,2011,83259
Zeliang,1991,35079
Zeliang,2001,61547
Zeliang,2011,63529
Zemi,1981,10619
Zemi,1991,22634
Zemi,2001,34110
Zemi,2011,50925
Zou,1981,12515
Zou,1991,15966
Zou,2001,20857
Zou,2011,26545
