language,census1,pop1,census2,pop2
Juang,2001,23708,2011,30378
Kabui,1971,50814,1981,52113
Kabui,1981,52113,1991,68925
Kabui,1991,68925,2001,94758
Kabui,2001,94758,2011,122931
Karbi/Mikir,1971,199121,1981,12600
Karbi/Mikir,1981,12600,1991,366229
Karbi/Mikir,1991,366229,2001,419534
Karbi/Mikir,2001,419534,2011,528503
Khandeshi,1971,251896,1981,1216789
Khandeshi,1981,1216789,1991,973709
Khandeshi,1991,973709,2001,2075258
Khandeshi,2001,2075258,2011,1860236
Kharia,1971,191421,1981,212605
Kharia,1981,212605,1991,225556
Kharia,1991,225556,2001,239608
Kharia,2001,239608,2011,297614
Khasi,1971,479028,1981,628846
Khasi,1981,628846,1991,912283
Khasi,1991,912283,2001,1128575
Khasi,2001,1128575,2011,1431344
Khezha,1971,11363,1981,16637
Khezha,1981,16637,1991,13004
Khezha,1991,13004,2001,40768
Khezha,2001,40768,2011,41625
Khiemnungan,1971,14414,1981,17880
Khiemnungan,1981,17880,1991,23544
Khiemnungan,1991,23544,2001,37755
Khiemnungan,2001,37755,2011,61983
Khond/Kondh,1971,196316,1981,195793
Khond/Kondh,1981,195793,1991,220783
Khond/Kondh,1991,220783,2001,118597
Khond/Kondh,2001,118597,2011,155548
Kinnauri,1971,45472,1981,52864
Kinnauri,1981,52864,1991,61794
Kinnauri,1991,61794,2001,65097
Kinnauri,2001,65097,2011,83561
Kisan,1971,73847,1981,159327
Kisan,1981,159327,1991,162088
Kisan,1991,162088,2001,141088
Kisan,2001,141088,2011,206100
Koch,1971,14256,1981,16694
Koch,1981,16694,1991,26179
Koch,1991,26179,2001,31119
Koch,2001,31119,2011,36434
Koda/Kora,1971,14333,1981,23113
Koda/Kora,1981,23113,1991,28200
Koda/Kora,1991,28200,2001,43030
Koda/Kora,2001,43030,2011,47268
Kolami,1971,66868,1981,83690
Kolami,1981,83690,1991,98281
Kolami,1991,98281,2001,121855
Kolami,2001,121855,2011,128451
Kom,1981,10062,1991,13548
Kom,1991,13548,2001,14673
Kom,2001,14673,2011,15108
Konda,1971,33720,1981,23258
Konda,1981,23258,1991,17864
Konda,1991,17864,2001,56262
Konda,2001,56262,2011,60699
Konyak,1971,72338,1981,76092
Konyak,1981,76092,1991,137722
Konyak,1991,137722,2001,248109
Konyak,2001,248109,2011,244477
Korku,1971,307434,1981,347661
Korku,1981,347661,1991,466073
Korku,1991,466073,2001,574481
Korku,2001,574481,2011,727133
Korwa,1971,15097,1981,48079
Korwa,1981,48079,1991,27485
Korwa,1991,27485,2001,34586
Korwa,2001,34586,2011,28453
Koya,1971,211877,1981,240245
Koya,1981,240245,1991,270994
Koya,1991,270994,2001,362070
Koya,2001,362070,2011,407423
Kui,1971,351017,1981,521585
Kui,1981,521585,1991,641662
Kui,1991,641662,2001,916222
Kui,2001,916222,2011,941488
Kuki,1971,32560,1981,49478
Kuki,1981,49478,1991,58263
Kuki,1991,58263,2001,52873
Kuki,2001,52873,2011,83968
Kurukh/Oraon,1971,1235665,1981,1333670
Kurukh/Oraon,1981,1333670,1991,1426618
Kurukh/Oraon,1991,1426618,2001,1751489
Kurukh/Oraon,2001,1751489,2011,1988350
Ladakhi,1981,56738,1991,72274
Lahauli,1971,16749,1981,18728
Lahauli,1981,18728,1991,22027
Lahauli,1991,22027,2001,22646
Lahauli,2001,22646,2011,11574
Lahnda,1971,41935,1981,42879
Lahnda,1981,42879,1991,27386
Lahnda,1991,27386,2001,92234
Lahnda,2001,92234,2011,108791
Lakher,1971,11867,1981,16091
Lakher,1981,16091,1991,22947
Lakher,1991,22947,2001,34751
Lakher,2001,34751,2011,42429
Lalung,1991,33746,2001,27072
